activity,runtimePoolType,runtimePool,studyMode,runtimePattern,runtimeFlight,runtimeVocabLevel,operationalStatus,cleanupDisposition,authoredRows,uniqueWords,viableRows,viableWords,protectedRows,protectedWords,inactiveRows,viableWordList,protectedWordList
Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root+suffix · Flight B · vocab:academic,combinations,prefix+root+suffix,B,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,3,3,1,1,2,2,0,nonverbal,inactive | inspector
Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root+suffix · Flight C · vocab:academic,combinations,prefix+root+suffix,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,5,5,5,5,0,0,0,convention | extraction | incredible | international | projection,
Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,12,12,7,7,5,5,0,books | boxes | fastest | jumped | jumping | quickly | taller,helpful | hopeless | kindness | readable | teacher
Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,5,5,1,1,4,4,0,scripted,classify | inspector | modernize | poetic
Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight B · vocab:familiar,combinations,root+suffix,B,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,7,5,5,2,2,0,active | artist | dangerous | movement | musical,portable | visible
Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight C · vocab:academic,combinations,root+suffix,C,academic,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,8,8,6,6,2,2,0,credible | dependence | existence | performance | persistence | sequence,audible | chronology
Change It,whole-question,Change It · Flight A · family:book → books → booked → booking,combinations,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,book | booked | booking | books,
Change It,whole-question,Change It · Flight A · family:box → boxes → boxed → boxing,combinations,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,box | boxed | boxes | boxing,
Change It,whole-question,Change It · Flight A · family:fast → faster → fastest → fastness,combinations,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,fast | faster | fastest | fastness,
Change It,whole-question,Change It · Flight A · family:jump → jumped → jumping → jumper,combinations,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,8,4,8,4,0,0,0,jump | jumped | jumper | jumping,
Change It,whole-question,Change It · Flight A · family:quick → quicker → quickly → quickness,combinations,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,quick | quicker | quickly | quickness,
Change It,whole-question,Change It · Flight A · family:tall → taller → tallest → tallness,combinations,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,tall | taller | tallest | tallness,
Change It,whole-question,Change It · Flight B · family:act → action → active → actively,combinations,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,8,4,8,4,0,0,0,act | action | active | actively,
Change It,whole-question,Change It · Flight B · family:art → artist → artistic → artistically,combinations,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,art | artist | artistic | artistically,
Change It,whole-question,Change It · Flight B · family:danger → dangerous → dangerously → endanger,combinations,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,danger | dangerous | dangerously | endanger,
Change It,whole-question,Change It · Flight B · family:move → movement → moving → movable,combinations,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,movable | move | movement | moving,
Change It,whole-question,Change It · Flight B · family:music → musical → musician → musically,combinations,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,music | musical | musically | musician,
Change It,whole-question,Change It · Flight C · family:credit → credible → credibility → credibly,combinations,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,8,4,8,4,0,0,0,credibility | credible | credibly | credit,
Change It,whole-question,Change It · Flight C · family:exist → existing → existence → existent,combinations,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,exist | existence | existent | existing,
Change It,whole-question,Change It · Flight C · family:perform → performer → performance → performing,combinations,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,perform | performance | performer | performing,
Change It,whole-question,Change It · Flight C · family:persist → persistent → persistence → persistently,combinations,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,persist | persistence | persistent | persistently,
Change It,whole-question,Change It · Flight C · family:predict → prediction → predictive,combinations,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,8,4,8,4,0,0,0,predict | predicted | prediction | predictive,
Change It,whole-question,Change It · Flight C · family:vocal → vocalist → vocalize → vocally,combinations,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,8,4,8,4,0,0,0,vocal | vocalist | vocalize | vocally,
Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight A · vocab:challenge,prefixes,,A,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,subsoil,
Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,12,12,6,6,6,6,0,forecast | forehead | midday | overuse | undercook | underground,disagree | midpoint | overcook | preview | rebuild | unhappy
Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight B · vocab:academic,prefixes,,B,academic,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,9,9,8,8,1,1,0,antisocial | circumference | destruction | destructive | encircle | enrich | nonverbal | semifinal,miscalculate
Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight B · vocab:academic | familiar,prefixes,,B,academic | familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,antifreeze,
Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,4,4,2,2,2,2,0,superhero | superhuman,export | transport
Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight C · vocab:academic,prefixes,,C,academic,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,8,8,5,5,3,3,0,circumnavigate | disruption | international | misinterpret | nonlinear,abduct | retroactive | retrospect
Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight C · vocab:challenge,prefixes,,C,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,adjoin,
Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight C · vocab:familiar,prefixes,,C,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,project,
Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:academic,roots,,B,academic,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,20,15,14,6,6,0,biography | geography | metric | microorganism | microscope | millimeter | motion | perspective | phonics | structure | telegraph | thermal | thermostat | transform,dictate | disrupt | manuscript | phonology | reconstruct | spectator
Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:familiar,roots,,B,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,4,4,3,1,1,0,autobiography | autograph | telescope,portable
Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,31,30,22,21,9,9,0,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,abduct | auditory | chronology | dermatitis | detract | reject | retractable | subsequent | transmit
Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:familiar,roots,,C,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,5,5,5,5,0,0,0,attract | pendant | refer | transfer | value,
Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,11,11,7,7,4,4,0,books | boxes | fastest | jumped | jumping | slowly | taller,fearless | hopeful | teacher | washable
Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight B · vocab:academic,suffixes,,B,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,2,2,1,1,1,1,0,prediction,inspector
Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight B · vocab:familiar,suffixes,,B,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,4,4,3,3,1,1,0,activity | dangerous | movement,visible
Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight C · vocab:academic,suffixes,,C,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,3,3,1,1,2,2,0,credible,construction | dependent
Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight C · vocab:familiar,suffixes,,C,familiar,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,2,2,1,1,1,1,0,production,assistant
Find,study-flight-vocab-pool,Find · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,5,2,2,3,3,0,misread | submarine,preview | rebuild | unhappy
Find,study-flight-vocab-pool,Find · prefixes · Flight B · vocab:academic,prefixes,,B,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,2,2,1,1,1,1,0,irregular,inactive
Find,study-flight-vocab-pool,Find · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,5,5,1,1,4,4,0,illegal,exhale | impossible | semicircle | transport
Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:academic,roots,,B,academic,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,13,13,8,8,5,5,0,biography | construct | geography | invisible | motion | perspective | rupture | transform,biology | dictate | inactive | inspect | manuscript
Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:familiar,roots,,B,familiar,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,4,4,1,1,3,3,0,predict,portable | transport | visible
Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:academic,roots,,C,academic,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,16,16,9,9,7,7,0,biodiversity | convert | credible | distraction | incredible | microscopic | phoneme | projection | sequence,audible | auditory | chronology | construction | emit | reject | transmit
Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:familiar,roots,,C,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,attract,
Find,study-flight-vocab-pool,Find · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,10,10,7,7,3,3,0,books | boxes | fastest | quickly | sleeping | taller | walked,helpful | hopeless | teacher
Find,study-flight-vocab-pool,Find · suffixes · Flight B · vocab:academic,suffixes,,B,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,2,2,1,1,1,1,0,prediction,inspector
Find,study-flight-vocab-pool,Find · suffixes · Flight B · vocab:familiar,suffixes,,B,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,4,4,2,2,2,2,0,dangerous | movement,portable | visible
Find,study-flight-vocab-pool,Find · suffixes · Flight C · vocab:academic,suffixes,,C,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,2,2,1,1,1,1,0,credible,construction
Learn,target-example-pool,Learn · prefixes · Flight A · target:dis · vocab:familiar,prefixes,,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,3,3,2,2,1,1,0,disconnect | disobey,disagree
Learn,target-example-pool,Learn · prefixes · Flight A · target:en-em · vocab:academic,prefixes,,A,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,embed | empower | encircle | enrich,
Learn,target-example-pool,Learn · prefixes · Flight A · target:fore · vocab:challenge,prefixes,,A,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,foretell,
Learn,target-example-pool,Learn · prefixes · Flight A · target:fore · vocab:familiar,prefixes,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,forecast | forehead,
Learn,target-example-pool,Learn · prefixes · Flight A · target:mid · vocab:familiar,prefixes,,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,3,3,2,2,1,1,0,midday | midfield,midpoint
Learn,target-example-pool,Learn · prefixes · Flight A · target:mis · vocab:challenge,prefixes,,A,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,misfire,
Learn,target-example-pool,Learn · prefixes · Flight A · target:mis · vocab:familiar,prefixes,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,misread | mistake,
Learn,target-example-pool,Learn · prefixes · Flight A · target:non · vocab:academic,prefixes,,A,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,nonverbal,
Learn,target-example-pool,Learn · prefixes · Flight A · target:non · vocab:familiar,prefixes,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,nonfiction | nonstop,
Learn,target-example-pool,Learn · prefixes · Flight A · target:over · vocab:familiar,prefixes,,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,3,3,2,2,1,1,0,overhead | overuse,overcook
Learn,target-example-pool,Learn · prefixes · Flight A · target:pre · vocab:familiar,prefixes,,A,familiar,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,3,3,1,1,2,2,0,preschool,preheat | preview
Learn,target-example-pool,Learn · prefixes · Flight A · target:re · vocab:familiar,prefixes,,A,familiar,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,3,3,1,1,2,2,0,return,rebuild | reread
Learn,target-example-pool,Learn · prefixes · Flight A · target:sub · vocab:academic,prefixes,,A,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,submerge,
Learn,target-example-pool,Learn · prefixes · Flight A · target:sub · vocab:challenge,prefixes,,A,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,subsoil,
Learn,target-example-pool,Learn · prefixes · Flight A · target:sub · vocab:familiar,prefixes,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,submarine,
Learn,target-example-pool,Learn · prefixes · Flight A · target:un-negation · vocab:familiar,prefixes,,A,familiar,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,4,4,2,2,2,2,0,unclear | unsafe,unfair | unhappy
Learn,target-example-pool,Learn · prefixes · Flight A · target:un-reversative · vocab:familiar,prefixes,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,untie,
Learn,target-example-pool,Learn · prefixes · Flight A · target:under · vocab:familiar,prefixes,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,3,3,3,3,0,0,0,undercook | underground | underpaid,
Learn,target-example-pool,Learn · prefixes · Flight B · target:anti · vocab:academic,prefixes,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,antibacterial | antisocial,
Learn,target-example-pool,Learn · prefixes · Flight B · target:anti · vocab:academic | familiar,prefixes,,B,academic | familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,antifreeze,
Learn,target-example-pool,Learn · prefixes · Flight B · target:circum · vocab:academic,prefixes,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,circumference | circumnavigate,
Learn,target-example-pool,Learn · prefixes · Flight B · target:circum · vocab:challenge,prefixes,,B,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,circumscribe,
Learn,target-example-pool,Learn · prefixes · Flight B · target:con-com · vocab:academic,prefixes,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,communicate,
Learn,target-example-pool,Learn · prefixes · Flight B · target:con-com · vocab:familiar,prefixes,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,combine | connect,
Learn,target-example-pool,Learn · prefixes · Flight B · target:de · vocab:academic,prefixes,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,descend,
Learn,target-example-pool,Learn · prefixes · Flight B · target:de · vocab:familiar,prefixes,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,defrost | detach,
Learn,target-example-pool,Learn · prefixes · Flight B · target:e-ex · vocab:academic,prefixes,,B,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,2,2,1,1,1,1,0,eruption,emit
Learn,target-example-pool,Learn · prefixes · Flight B · target:e-ex · vocab:familiar,prefixes,,B,familiar,LEARN_EXAMPLE_SUBPOOL_EMPTY_AFTER_PROTECTION,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,2,2,0,0,2,2,0,,exhale | export
Learn,target-example-pool,Learn · prefixes · Flight B · target:inter · vocab:academic,prefixes,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,3,3,3,3,0,0,0,interact | international | interstate,
Learn,target-example-pool,Learn · prefixes · Flight B · target:location-in-family · vocab:academic,prefixes,,B,academic,VIABLE_AFTER_PROTECTION,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,4,4,3,3,1,1,0,immerse | inbound | insert,import
Learn,target-example-pool,Learn · prefixes · Flight B · target:negative-in-family · vocab:academic,prefixes,,B,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,2,2,1,1,1,1,0,irregular,inactive
Learn,target-example-pool,Learn · prefixes · Flight B · target:negative-in-family · vocab:familiar,prefixes,,B,familiar,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,2,2,1,1,1,1,0,illegal,impossible
Learn,target-example-pool,Learn · prefixes · Flight B · target:pro · vocab:familiar,prefixes,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,3,3,3,3,0,0,0,proceed | project | promote,
Learn,target-example-pool,Learn · prefixes · Flight B · target:semi · vocab:academic,prefixes,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,semicolon | semifinal,
Learn,target-example-pool,Learn · prefixes · Flight B · target:semi · vocab:familiar,prefixes,,B,familiar,LEARN_EXAMPLE_SUBPOOL_EMPTY_AFTER_PROTECTION,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,1,1,0,0,1,1,0,,semicircle
Learn,target-example-pool,Learn · prefixes · Flight B · target:super · vocab:academic,prefixes,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,superstructure,
Learn,target-example-pool,Learn · prefixes · Flight B · target:super · vocab:familiar,prefixes,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,superhero | superhuman,
