word,protection,source,activity,runtimePoolType,runtimePool,studyMode,runtimePattern,runtimeFlight,runtimeVocabLevel,cleanupDisposition,viableWordsRemaining,viableWordList,destination
portable,migration-challenge,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight B · vocab:familiar,combinations,root+suffix,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,active | artist | dangerous | movement | musical,Flight B Digital Build Words
visible,migration-challenge,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight B · vocab:familiar,combinations,root+suffix,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,active | artist | dangerous | movement | musical,Flight B Digital Build Words
audible,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight C · vocab:academic,combinations,root+suffix,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,credible | dependence | existence | performance | persistence | sequence,Flight C Digital Build Words
chronology,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight C · vocab:academic,combinations,root+suffix,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,credible | dependence | existence | performance | persistence | sequence,Flight C Digital Build Words
disagree,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,forecast | forehead | midday | overuse | undercook | underground,Flight A Digital Figure It Out
midpoint,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,forecast | forehead | midday | overuse | undercook | underground,Flight A Digital Figure It Out
overcook,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,forecast | forehead | midday | overuse | undercook | underground,Flight A Digital Figure It Out
preview,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,forecast | forehead | midday | overuse | undercook | underground,Flight A Digital Figure It Out
rebuild,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,forecast | forehead | midday | overuse | undercook | underground,Flight A Digital Figure It Out
unhappy,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,forecast | forehead | midday | overuse | undercook | underground,Flight A Digital Figure It Out
miscalculate,check-transfer,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight B · vocab:academic,prefixes,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,8,antisocial | circumference | destruction | destructive | encircle | enrich | nonverbal | semifinal,Flight B Digital Figure It Out
export,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,superhero | superhuman,Flight B Digital Figure It Out
transport,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,superhero | superhuman,Flight B Digital Figure It Out
abduct,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight C · vocab:academic,prefixes,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,circumnavigate | disruption | international | misinterpret | nonlinear,Flight C Digital Figure It Out
retroactive,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight C · vocab:academic,prefixes,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,circumnavigate | disruption | international | misinterpret | nonlinear,Flight C Digital Figure It Out
retrospect,lexical-family-instruction-block,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · prefixes · Flight C · vocab:academic,prefixes,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,circumnavigate | disruption | international | misinterpret | nonlinear,Flight C Digital Figure It Out
dictate,check-transfer,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,14,biography | geography | metric | microorganism | microscope | millimeter | motion | perspective | phonics | structure | telegraph | thermal | thermostat | transform,Flight B Digital Figure It Out
disrupt,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,14,biography | geography | metric | microorganism | microscope | millimeter | motion | perspective | phonics | structure | telegraph | thermal | thermostat | transform,Flight B Digital Figure It Out
manuscript,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,14,biography | geography | metric | microorganism | microscope | millimeter | motion | perspective | phonics | structure | telegraph | thermal | thermostat | transform,Flight B Digital Figure It Out
phonology,check-transfer,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,14,biography | geography | metric | microorganism | microscope | millimeter | motion | perspective | phonics | structure | telegraph | thermal | thermostat | transform,Flight B Digital Figure It Out
reconstruct,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,14,biography | geography | metric | microorganism | microscope | millimeter | motion | perspective | phonics | structure | telegraph | thermal | thermostat | transform,Flight B Digital Figure It Out
spectator,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,14,biography | geography | metric | microorganism | microscope | millimeter | motion | perspective | phonics | structure | telegraph | thermal | thermostat | transform,Flight B Digital Figure It Out
portable,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight B · vocab:familiar,roots,,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,3,autobiography | autograph | telescope,Flight B Digital Figure It Out
abduct,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
auditory,check-transfer,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
chronology,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
dermatitis,check-transfer,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
detract,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
reject,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
retractable,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
subsequent,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
transmit,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,21,bibliography | compel | compose | convert | credible | dermal | detention | distraction | position | propel | retention | revise | sequence | subterranean | suspend | terrain | territory | transcribe | transportation | valid | vocalist,Flight C Digital Figure It Out
fearless,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | slowly | taller,Flight A Digital Figure It Out
hopeful,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | slowly | taller,Flight A Digital Figure It Out
teacher,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | slowly | taller,Flight A Digital Figure It Out
washable,check-transfer,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | slowly | taller,Flight A Digital Figure It Out
inspector,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight B · vocab:academic,suffixes,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,prediction,Flight B Digital Figure It Out
visible,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight B · vocab:familiar,suffixes,,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,3,activity | dangerous | movement,Flight B Digital Figure It Out
construction,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight C · vocab:academic,suffixes,,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,credible,Flight C Digital Figure It Out
dependent,migration-challenge,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight C · vocab:academic,suffixes,,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,credible,Flight C Digital Figure It Out
assistant,formal-pre-post,script.js,Figure It Out,study-flight-vocab-pool,Figure It Out · suffixes · Flight C · vocab:familiar,suffixes,,C,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,production,Flight C Digital Figure It Out
preview,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,misread | submarine,Flight A Digital Find
rebuild,migration-challenge,script.js,Find,study-flight-vocab-pool,Find · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,misread | submarine,Flight A Digital Find
unhappy,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,misread | submarine,Flight A Digital Find
inactive,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · prefixes · Flight B · vocab:academic,prefixes,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,irregular,Flight B Digital Find
exhale,check-transfer,script.js,Find,study-flight-vocab-pool,Find · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,illegal,Flight B Digital Find
impossible,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,illegal,Flight B Digital Find
semicircle,migration-challenge,script.js,Find,study-flight-vocab-pool,Find · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,illegal,Flight B Digital Find
transport,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,illegal,Flight B Digital Find
biology,migration-challenge,script.js,Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,8,biography | construct | geography | invisible | motion | perspective | rupture | transform,Flight B Digital Find
dictate,check-transfer,script.js,Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,8,biography | construct | geography | invisible | motion | perspective | rupture | transform,Flight B Digital Find
inactive,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,8,biography | construct | geography | invisible | motion | perspective | rupture | transform,Flight B Digital Find
inspect,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,8,biography | construct | geography | invisible | motion | perspective | rupture | transform,Flight B Digital Find
manuscript,migration-challenge,script.js,Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,8,biography | construct | geography | invisible | motion | perspective | rupture | transform,Flight B Digital Find
portable,migration-challenge,script.js,Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:familiar,roots,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,predict,Flight B Digital Find
transport,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:familiar,roots,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,predict,Flight B Digital Find
visible,migration-challenge,script.js,Find,study-flight-vocab-pool,Find · roots · Flight B · vocab:familiar,roots,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,predict,Flight B Digital Find
audible,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,9,biodiversity | convert | credible | distraction | incredible | microscopic | phoneme | projection | sequence,Flight C Digital Find
auditory,check-transfer,script.js,Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,9,biodiversity | convert | credible | distraction | incredible | microscopic | phoneme | projection | sequence,Flight C Digital Find
chronology,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,9,biodiversity | convert | credible | distraction | incredible | microscopic | phoneme | projection | sequence,Flight C Digital Find
construction,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,9,biodiversity | convert | credible | distraction | incredible | microscopic | phoneme | projection | sequence,Flight C Digital Find
emit,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,9,biodiversity | convert | credible | distraction | incredible | microscopic | phoneme | projection | sequence,Flight C Digital Find
reject,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,9,biodiversity | convert | credible | distraction | incredible | microscopic | phoneme | projection | sequence,Flight C Digital Find
transmit,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · roots · Flight C · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,9,biodiversity | convert | credible | distraction | incredible | microscopic | phoneme | projection | sequence,Flight C Digital Find
helpful,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | quickly | sleeping | taller | walked,Flight A Digital Find
hopeless,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | quickly | sleeping | taller | walked,Flight A Digital Find
teacher,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | quickly | sleeping | taller | walked,Flight A Digital Find
inspector,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · suffixes · Flight B · vocab:academic,suffixes,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,prediction,Flight B Digital Find
portable,migration-challenge,script.js,Find,study-flight-vocab-pool,Find · suffixes · Flight B · vocab:familiar,suffixes,,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,dangerous | movement,Flight B Digital Find
visible,migration-challenge,script.js,Find,study-flight-vocab-pool,Find · suffixes · Flight B · vocab:familiar,suffixes,,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,dangerous | movement,Flight B Digital Find
construction,formal-pre-post,script.js,Find,study-flight-vocab-pool,Find · suffixes · Flight C · vocab:academic,suffixes,,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,credible,Flight C Digital Find
disagree,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:dis · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,disconnect | disobey,Flight A Digital Learn
midpoint,migration-challenge,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:mid · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,midday | midfield,Flight A Digital Learn
overcook,migration-challenge,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:over · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,overhead | overuse,Flight A Digital Learn
preheat,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:pre · vocab:familiar,prefixes,,A,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,preschool,Flight A Digital Learn
preview,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:pre · vocab:familiar,prefixes,,A,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,preschool,Flight A Digital Learn
rebuild,migration-challenge,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:re · vocab:familiar,prefixes,,A,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,return,Flight A Digital Learn
reread,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:re · vocab:familiar,prefixes,,A,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,return,Flight A Digital Learn
unfair,migration-challenge,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:un-negation · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,unclear | unsafe,Flight A Digital Learn
unhappy,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight A · target:un-negation · vocab:familiar,prefixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,unclear | unsafe,Flight A Digital Learn
emit,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight B · target:e-ex · vocab:academic,prefixes,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,eruption,Flight B Digital Learn
