word,sourceTypes,targetIds,targetLabels,canonicalTargetFlights,practiceBands,practiceFlights,accessibilityBands,vocabLevels,transparency,segmentation,protection,actualFixedOrAuthoredDestinations,dynamicEligibleDestinations,blockedDestinations,sourceOnlyButRuntimeFiltered,recommendedActivityUse,reviewCaution
actively,change-it.js,,,,,,,,,,,Flight B Digital Change It,,,,,
activity,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,act | ity,act | -ity,B,4-5,B,2-3,familiar,medium,,,Flight B Digital Break It Apart || Flight B Digital Figure It Out || Flight B Digital Learn,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
adhere,instructional-session-planner.js | master-word-inventory | script.js,a-ad,"a-, ad-",C,6-8,C,6-8,academic,low,,,Flight C Digital Learn || Flight C Digital Word Hunt,Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A,,,Learn / recognition; avoid independent Figure It Out or Build,"ad- = toward is historically relevant, but the remaining root is not taught; use only as advanced recognition."
adjoin,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,a-ad,"a-, ad-",C,6-8,C,6-8,challenge,medium,ad- + join,,Flight C Digital Break It Apart || Flight C Digital Figure It Out || Flight C Digital Learn || Flight C Digital Word Hunt,Flight C Teacher-Led Break It Apart · Optional Practice Set || Flight C Teacher-Led Break It Apart · Retrieve || Flight C Teacher-Led Break It Apart · Word Part · Part A || Flight C Teacher-Led Figure It Out · Optional Practice Set || Flight C Teacher-Led Figure It Out · Retrieve || Flight C Teacher-Led Figure It Out · Word Part · Part A || Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Find · Word Part · Part B || Flight C Teacher-Led Learn · Optional Practice Set || Flight C Teacher-Led Learn · Retrieve || Flight C Teacher-Led Learn · Word Part · Part A || Flight C Teacher-Led Learn · Word Part · Part B || Flight C Teacher-Led Meaning · Optional Practice Set || Flight C Teacher-Led Meaning · Retrieve || Flight C Teacher-Led Meaning · Word Part · Part A || Flight C Teacher-Led Use It · Optional Practice Set || Flight C Teacher-Led Use It · Retrieve || Flight C Teacher-Led Use It · Word Part · Part A || Flight C Teacher-Led Use It · Word Part · Part B || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A || Flight C Teacher-Led Word Part · Optional Practice Set || Flight C Teacher-Led Word Part · Retrieve || Flight C Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
adjustable,instructional-check-transfer.js | instructional-protection-registry.js,able-ible,"-able, -ible",A,,,,,,,check-transfer,Check Transfer · Flight A,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
adjustment,instructional-check-transfer.js | instructional-protection-registry.js,ment,-ment,A,,,,,,,check-transfer,Check Transfer · Flight A,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
advance,instructional-session-planner.js | master-word-inventory | script.js,a-ad,"a-, ad-",C,6-8,C,4-5,familiar,low,,,Flight C Digital Learn || Flight C Digital Word Hunt,Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Find · Word Part · Part B || Flight C Teacher-Led Learn · Optional Practice Set || Flight C Teacher-Led Learn · Retrieve || Flight C Teacher-Led Learn · Word Part · Part A || Flight C Teacher-Led Learn · Word Part · Part B || Flight C Teacher-Led Use It · Optional Practice Set || Flight C Teacher-Led Use It · Retrieve || Flight C Teacher-Led Use It · Word Part · Part A || Flight C Teacher-Led Use It · Word Part · Part B || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A,,,Learn / recognition; avoid independent Figure It Out or Build,"ad- = toward is historically relevant, but the remaining form is not a taught root; poor independent inference item."
advent,instructional-check-transfer.js | instructional-protection-registry.js,ven,ven/vent,C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
antibacterial,instructional-session-planner.js | master-word-inventory | script.js | teacher-word-extension,anti,anti-,B,4-5 | 6-8,B | C,4-5 | 6-8,academic,high | medium,anti- + bacterial,,Flight B Digital Learn,Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
antifreeze,instructional-session-planner.js | master-word-inventory | script.js | teacher-word-extension,anti,anti-,B,4-5,B,4-5,academic | familiar,high | medium,anti- + freeze,,Flight B Digital Figure It Out || Flight B Digital Learn,Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
antifungal,instructional-session-planner.js | master-word-inventory | teacher-word-extension,anti,anti-,B,4-5,B,4-5,academic,high,anti- + fungal,,,Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,,
antisocial,instructional-session-planner.js | master-word-inventory | script.js,anti,anti-,B,4-5,B,4-5,academic,medium,,,Flight B Digital Figure It Out || Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
antiviral,instructional-check-transfer.js | instructional-protection-registry.js,anti,anti-,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
antivirus,instructional-session-planner.js | master-word-inventory | teacher-word-extension,anti,anti-,B,4-5,B,4-5,academic,high,anti- + virus,,,Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,,
antiwar,instructional-check-transfer.js | instructional-protection-registry.js,anti,anti-,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
approach,instructional-check-transfer.js | instructional-protection-registry.js,a-ad,"a-, ad-",C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
aquatic,instructional-check-transfer.js | instructional-protection-registry.js,ic,-ic,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
aqueduct,instructional-check-transfer.js | instructional-protection-registry.js,duct,duct/duce,C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
art,change-it.js,,,,,,,,,,,Flight B Digital Change It,,,,,
arthroscope,instructional-check-transfer.js | instructional-protection-registry.js,scop,scop/scope,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
artist,change-it.js | instructional-session-planner.js | master-word-inventory | script.js | use-it.js | word-inventory.js + instructional-word-selector.js,ist,-ist,B,4-5,B,2-3,familiar,high,art + -ist,,Flight B Digital Break It Apart || Flight B Digital Build Words || Flight B Digital Change It || Flight B Digital Learn || Flight B Digital Use It,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Break It Apart · Word Part · Part B || Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Full practice; Build only when all displayed pieces are explicitly taught,
artistic,change-it.js,,,,,,,,,,,Flight B Digital Change It,,,,,
artistically,change-it.js,,,,,,,,,,,Flight B Digital Change It,,,,,
assistance,flight-c-assessment.js | instructional-protection-registry.js,,,,,,,,,,formal-pre-post,Pretest C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
assistant,flight-c-assessment.js | instructional-protection-registry.js | master-word-inventory | script.js,ant-ent-agent,"-ant, -ent",C,6-8,C,4-5,familiar,medium,,formal-pre-post,Pretest C,,Flight C Digital Figure It Out || Flight C Digital Learn || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight C Digital Figure It Out || Flight C Digital Learn,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
attach,instructional-check-transfer.js | instructional-protection-registry.js,a-ad,"a-, ad-",C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
